Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Juan Sebastian Trujillo Hernandez,Cátedra Inaugural: De la investigación básica a la investigación aplicada, Seminario,IBAGUÉ   - Universidad de Ibagué,Nacional,"De la investigación básica a la investigación aplicada: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Organizador
",2019
Juan Sebastian Trujillo Hernandez,Quantum Technology Present and Future, Encuentro,"BOGOTÁ, D.C.   - Academia Colombiana de Ciencias Exactas, Físicas y Naturales",Nacional,Ninguno,"UNIVERSIDAD DE IBAGUÉ: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Asistente
",2019
Juan Sebastian Trujillo Hernandez,Coloquio de Física: Ciclo de Conferencias, Simposio,IBAGUÉ   - Universidad de Ibagué,Nacional,"Imanes Permanentes Libres de Tierras Raras: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Organizador , Ponente magistral
",2017
Juan Sebastian Trujillo Hernandez,Annual Conference on Magnetism and Magnetic Materials MMM2019, Congreso,Las Vegas   - Las Vegas - Rio Hotel and Casino,Internacional,"Structural and magnetic properties of Mn53.3-xAl45C1.7Tix (x = 0, 0.5, 1.0, 1.5) melt spun ribbons: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DE IBAGUÉ: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2019
Juan Sebastian Trujillo Hernandez,21th Latin American Symposium on Solid State Physics (SLAFES XXI), Congreso,VILLA DE LEYVA   - Villa de Leyva - Colombia,Internacional,"Heat treatment influence on the structural and magnetic properties of the intermetallic Fe56.25Al43.75 alloy prepared by mechanical alloying and arc-melted.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2013
Juan Sebastian Trujillo Hernandez,"Fourth International Conference on Ferromagnetic Shape Memory Alloys Boise State University, Idaho USA", Congreso,Boise - Idaho   - Boise - Idaho,Internacional,"Ni High Concentration Effect on the Magnetic and Structural Properties of the NdFeB Hard Magnet.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2013
Juan Sebastian Trujillo Hernandez,The 2018 Joint Conference of the Condensed Matter Divisions of the DPG and the EPS (DPG 2018), Congreso,Berlin   - Technishe Universitat Berlin,Internacional,Ninguno,"UNIVERSIDAD DEL VALLE: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Asistente
",2018
Juan Sebastian Trujillo Hernandez,Workshop on Oxide Materials:Novel Multifunctional Properties, Congreso,CALI   - Universidad del Valle,Nacional,"Preparation of Fe3O4 nanoparticles and catalytic activity in methylene blue: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2014
Juan Sebastian Trujillo Hernandez,"XIII Latin American Conference on the Applications of the Mössbauer Effect. Universidad de Antioquia, Medellín - Colombia", Congreso,MEDELLÍN   - Universidad de Antioquia - Colombia,Internacional,"Structural, calorimetric and magnetic properties study of the Cu0.91Fe0.09O system.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2012
Juan Sebastian Trujillo Hernandez,Jornada de charlas de investigación en nuevos materiales, Encuentro,IBAGUÉ   - Universidad de Ibagué,Nacional,"Desarrollando nuevos imanes permanentes: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Organizador , Ponente magistral
",2017
Juan Sebastian Trujillo Hernandez,XVth Latin American Conference on the Applications of the Applications of the Mössbauer Effect (LACAME 2016), Congreso,Ciudad de Panamá   - Panamá,Internacional,"Preparation of Fe3O4 nanoparticles and catalytic activity in methylene blue and esterification: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2016
Juan Sebastian Trujillo Hernandez,XIVth Latin American Conference on the Applications of the Mössbauer Effect(LACAME 2014), Congreso,Toluca   - Toluca - Mexico,Internacional,"Ni High Concentration Effect on the Magnetic and Structural Properties of the NdFeB Hard Magnet.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2014
Juan Sebastian Trujillo Hernandez,"24th International Symposium on Metastable, Amorphous and Nanostructured Materials (ISMANAN 2017).", Congreso,San Sebastian - Pais Vasco   - San Sebastian - Pais Vasco,Internacional,"Exchange coupling in MnAlC/Fe nanocomposite magnets: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2017
Juan Sebastian Trujillo Hernandez,XXIII Congreso Nacional de Física., Congreso,SANTA MARTA   - Universidad del Magdalena,Nacional,"Análisis del sistema Fe56.25Al43.75 mediante espectrometría Mössbauer y Difracción de rayos-X.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2009
Juan Sebastian Trujillo Hernandez,III Congreso Nacional de Ingeniería Física, Congreso,"MEDELLÍN   - Universidad EAFIT - Medellin, Colombia",Nacional,"Effect of heat treatment on the structural and magnetic properties of the system Fe56.25Al43.75 prepared by mechanical alloying.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2012
Juan Sebastian Trujillo Hernandez,"I Escuela Colombiana de Teoría y Computación en las Ciencias Moleculares Universidad del Valle - Cali, Colombia.", Taller,CALI   - Universidad del Valle - Colombia,Nacional,Ninguno,"UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Asistente
",2012
