Grupo,Nombre del producto,Tipo,Año inicio,Año fin
NATURATU,"REVELANDO PROCESSOS EVOLUTIVOS DO COMPLEXO MIMUS GILVUS NO BRASIL: UMA INTERAÇÃO ENTRE A ADAPTAÇÃO MORFOLÓGICA, A DIVERSIDADE GENÉTICA, O CANTO E A DISTRIBUIÇÃO GEOGRÁFICA - REVELANDO PROCESOS EVOLUTIVOS DEL COMPEJO MIMUS GILVUS EN EL BRASIL", Investigación y desarrollo,2011/9,2015/7
NATURATU,Desarrollo de competencias genéricas para el acceso y permanencia en la educación superior dirigido a estudiantes de educación media del colegio Hermann Gmeiner de la ciudad de Ibagué, Investigación y desarrollo,2011/8,2013/12
NATURATU,Estudio y modelamiento de los tiempos de captura en pozos cuánticos basados  en nitruro de Galio, Investigación y desarrollo,2011/8,2013/8
NATURATU,CARACTERIZACIÓN QUÍMICA COMPOSICIONAL EN EL RESIDUO (TAMO) DE DIFERENTES VARIEDADES  DE ARROZ EN EL  MUNICIPIO DE IBAGUÈ, Investigación y desarrollo,2011/8,2012/9
NATURATU,Caracterización química composicional del residuo (tamo) de diferentes variedades de arroz en el municipio de Ibagué, Investigación y desarrollo,2011/8,2012/7
NATURATU,Utilización de fibras orgánicas (fique y Guadua) en compuestos de matriz polimérica para aplicaciones de impacto, Investigación y desarrollo,2011/7,2013/7
NATURATU,Caracterización de la avifauna en un paisaje fragmentado de bosque seco tropical en el norte del Tolima (Colombia). Programa Monitoreo de Aves (PMA) Fase I: 2011-2015, Investigación y desarrollo,2011/1,2015/12
NATURATU,Efecto de tratamientos térmicos sobre la estabilidad del salvado de arroz, Investigación y desarrollo,2010/8,2011/9
NATURATU,ANÁLISIS DE LA ABSORCION DE LA MATERIA ORGANICA DE LA PLANTA DE LA UNIVERSIDAD DE IBAGUE, Investigación y desarrollo,2010/7,2011/7
NATURATU,METODOS NUMERICOS PARA EL ANALISIS DE LA VOLATILIDAD DEL PRECIO DE LA ENERGIA ELCTRICA  EN COLOMBIA., Extensión y responsabilidad social CTI,,
NATURATU,"control y regulación del sopor en el único mamífero hibernante sudamericano, el marsupial ancestral ¿monito del monte¿ Dromiciops gliroides (Marsupialia: Microbiotheria)", Investigación y desarrollo,2009/10,2013/9
NATURATU,Modelamiento de sistemas dinámicos aplicados a la producción de biogás., Investigación y desarrollo,2009/8,2010/12
NATURATU,Calculo del rendimiento cuántico de la luminiscencia  de iones de tierras raras en presencia de nanopartículas de plata., Investigación y desarrollo,2009/6,2011/7
NATURATU,Zonificación y caracterización económica y ambiental de sistemas de producción con agricultura orgánica en el departamento del Tolima, Extensión y responsabilidad social CTI,,
NATURATU,La Montaña Rusa en el aprendizaje del concepto de limite, Investigación y desarrollo,2008/8,2009/5
NATURATU,"Diseño, documentación e implementación del Sistema de Gestión de la Calidad para el aseguramiento de la calidad analítica en el Laboratorio de Química de la Universidad de Ibagué basado en la norma ISO/IEC 17025.", Investigación y desarrollo,2008/6,2009/6
NATURATU,: UTILIZACIÓN DE VIDRIOS DE FESDESPATO DE LA MINA DE IBAGUE EN RECUBRIMIENTOS INDUSTRIALES, Investigación y desarrollo,2008/6,2010/2
NATURATU,Determinación del indice de producción de Biogas a partir del rumen de vaca por digestión anaerobia, Investigación y desarrollo,2008/5,2009/1
NATURATU,Evaluación de alternativas de aprovechamiento del biogás producido en los reactores UASB de la planta de aguas residuales el Tejar, Investigación y desarrollo,2008/1,2008/7
NATURATU,Determinación de constantes cineticas en el proceso biologico de la Planta piloto, Investigación y desarrollo,2007/11,2009/1
NATURATU,Determinación de OUR por el método respirometrico en el proceso de lodos activados, Investigación y desarrollo,2007/10,2009/1
NATURATU,"Sistema de Información Geográfico de los Ríos Prado, Coello y Amoya  en el Departamento del Tolima.", Investigación y desarrollo,2007/1,2009/Sin mes
NATURATU,El aprendizaje basado en problemas ABP aplicado a las ecuaciones diferenciales, Investigación y desarrollo,2006/1,2007/Sin mes
NATURATU,EVALUACIÓN Y PRONÓSTICO DE AGRICULTURA ECOLOGICA, Investigación y desarrollo,2005/1,Actual
NATURATU,Control Predictivo e Inteligente Aplicado al Tratamiento de las Aguas Residuales, Investigación y desarrollo,2005/1,2008/1
NATURATU,Procesamiento y caracterización de los nitruros de cromo depositados sobre un acero 316L en la atmósfera gaseosa a baja temperatura como alternativa de material en implantes médicos., Investigación y desarrollo,2005/1,Actual
NATURATU,"Determinación de las variables que intervienen en la reducción del pH de las aguas residuales industriales, utilizando gases de combustión", Investigación y desarrollo,2005/1,2008/11
NATURATU,"Sistema De Información Geográfico De Los Ríos Prado, Coello Y Amoya En El Departamento Del Tolima.", Investigación y desarrollo,2005/1,Actual
NATURATU,Diseño e Ingeneria de Detalle para la construcción  de Planta Piloto para un sistema integrado de tratamiento y reuso de aguas residuales domesticas," Investigación, desarrollo e innovación",2005/1,2005/6
NATURATU,Desarrollo de un sistema automatizado y de control remoto vía internet para un reactor monoevaporador de arco pulsado, Extensión y responsabilidad social CTI,,
NATURATU,Estructura electrónica de las superficies de metales de transición con estructura cristalográfica BCC y FCC, Investigación y desarrollo,2000/1,2018/10
