Grupo,Nombre del Evento,Tipo,Lugar,Institución,Participación,Ámbito,Año,Mes,Día,Palabras,Area,Sectores
NATURATU,5a Semana de Investigación Universitaria, Otro ,IBAGUÉ,, Ponente, Nacional, 2015,09,21 ,,,
NATURATU,Semana de Investigación Universitaria SIU2015, Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2015,09,21 ,,,
NATURATU,Curso de difraccion de rayos x  - método Rietveld, Otro ,CALI, UNIVERSIDAD DEL VALLE, Asistente, Nacional, 2015,09,21 ,,,
NATURATU,Contribución de las Ciencias Básicas al desarrollo del Agro, Simposio ,CAJICÁ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2015,09,10 ,,,
NATURATU,2015 20 th symposium on signal processing images on computer vosion STSIVA, Simposio ,"BOGOTÁ, D.C.", PONTIFICIA UNIVERSIDAD JAVERIANA," Asistente , Ponente", Internacional, 2015,09,02 ,,,
NATURATU,XV Congreso Geológico Colombiano, Congreso ,BUCARAMANGA, UNIVERSIDAD NACIONAL DE COLOMBIA, Ponente Magistral, Internacional, 2015,08,31 ,,,
NATURATU,Controles físicos de la evolución geológica-geomorfológica de los litorales colombianos, Seminario ,MEDELLÍN, UNIVERSIDAD EAFIT, Ponente Magistral, Internacional, 2015,08,24 ,,,
NATURATU,XIX Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso ,Villahermosa, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2015,08,24 ,,,
NATURATU,XIX Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso ,Villahermosa, Sociedad Mesoamericana para la Biología y la Conservación, Ponente, Internacional, 2015,08,24 ,,,
NATURATU,"The 9th International Congress of Comparative Physiology and Biochemistry, From Molecules to Macrophysiology", Congreso ,Kraków, Jagiellonian University, Ponente, Internacional, 2015,08,23 ,,,
NATURATU,VIII Congreso Colombiano de Botánica, Congreso ,MANIZALES, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2015,08,02 ,,,
NATURATU,VIII Congreso Colombiano de Botánica, Congreso ,MANIZALES, UNIVERSIDAD DEL TOLIMA, Ponente, Nacional, 2015,08,02 ,,,
